Team,Result,Toss,Bat,Opposition,Ground,Date
Sri Lanka,aban,-,-,India,Colombo (SSC),20 Aug 2006
Sri Lanka,canc,-,-,India,Colombo (SSC),22 Aug 2006
Sri Lanka,canc,-,-,India,Colombo (RPS),24 Aug 2006
Sri Lanka,n/r,lost,1st,India,Kolkata,8 Feb 2007
Sri Lanka,won,lost,1st,India,Rajkot,11 Feb 2007
Sri Lanka,lost,won,1st,India,Margao,14 Feb 2007
Sri Lanka,lost,lost,1st,India,Visakhapatnam,17 Feb 2007
Sri Lanka,won,lost,1st,India,Port of Spain,23 Mar 2007
Sri Lanka,won,lost,1st,India,Manchester,16 Jun 1979
Sri Lanka,lost,won,2nd,India,Amritsar,12 Sep 1982
Sri Lanka,lost,won,1st,India,Delhi,15 Sep 1982
Sri Lanka,lost,won,1st,India,Bangalore,26 Sep 1982
Sri Lanka,lost,lost,1st,India,Sharjah,8 Apr 1984
Sri Lanka,lost,lost,1st,India,Colombo (SSC),25 Aug 1985
Sri Lanka,won,lost,1st,India,Colombo (PSS),21 Sep 1985
Sri Lanka,n/r,won,2nd,India,Colombo (PSS),22 Sep 1985
Sri Lanka,lost,lost,1st,India,Sharjah,13 Apr 1986
Sri Lanka,lost,lost,1st,India,Sharjah,27 Nov 1986
Sri Lanka,won,lost,1st,India,Kanpur,24 Dec 1986
Sri Lanka,lost,lost,1st,India,Guwahati,11 Jan 1987
Sri Lanka,lost,lost,1st,India,Delhi,13 Jan 1987
Sri Lanka,lost,won,2nd,India,Vadodara,15 Jan 1987
Sri Lanka,lost,won,2nd,India,Mumbai,17 Jan 1987
Sri Lanka,lost,won,2nd,India,Sharjah,25 Mar 1988
Sri Lanka,won,lost,1st,India,Dhaka,29 Oct 1988
Sri Lanka,lost,lost,1st,India,Dhaka,4 Nov 1988
Sri Lanka,lost,lost,2nd,India,Ahmedabad,22 Oct 1989
Sri Lanka,won,won,2nd,India,Sharjah,25 Apr 1990
Sri Lanka,lost,won,2nd,India,Nagpur,1 Dec 1990
Sri Lanka,lost,lost,1st,India,Pune,5 Dec 1990
Sri Lanka,won,lost,2nd,India,Margao,8 Dec 1990
Sri Lanka,won,won,1st,India,Cuttack,28 Dec 1990
Sri Lanka,lost,lost,1st,India,Kolkata,4 Jan 1991
Sri Lanka,n/r,won,2nd,India,Mackay,28 Feb 1992
Sri Lanka,lost,won,2nd,India,Colombo (RPS),25 Jul 1993
Sri Lanka,won,lost,1st,India,Colombo (RPS),12 Aug 1993
Sri Lanka,won,lost,2nd,India,Moratuwa,14 Aug 1993
Sri Lanka,lost,lost,1st,India,Kanpur,7 Nov 1993
Sri Lanka,lost,won,2nd,India,Rajkot,15 Feb 1994
Sri Lanka,lost,lost,1st,India,Hyderabad (Deccan),18 Feb 1994
Sri Lanka,won,won,2nd,India,Jalandhar,20 Feb 1994
Sri Lanka,n/r,won,2nd,India,Colombo (RPS),4 Sep 1994
Sri Lanka,won,won,2nd,India,Colombo (RPS),5 Sep 1994
Sri Lanka,lost,lost,1st,India,Colombo (SSC),17 Sep 1994
Sri Lanka,lost,won,1st,India,Sharjah,9 Apr 1995
Sri Lanka,lost,lost,1st,India,Sharjah,14 Apr 1995
Sri Lanka,won,won,2nd,India,Delhi,2 Mar 1996
Sri Lanka,won,lost,1st,India,Kolkata,13 Mar 1996
Sri Lanka,lost,lost,2nd,India,Singapore,3 Apr 1996
Sri Lanka,won,lost,2nd,India,Colombo (RPS),28 Aug 1996
Sri Lanka,won,lost,2nd,India,Mumbai,17 May 1997
Sri Lanka,won,won,2nd,India,Colombo (RPS),18 Jul 1997
Sri Lanka,won,lost,2nd,India,Colombo (RPS),26 Jul 1997
Sri Lanka,won,lost,1st,India,Colombo (RPS),17 Aug 1997
Sri Lanka,won,won,2nd,India,Colombo (RPS),20 Aug 1997
Sri Lanka,n/r,won,2nd,India,Colombo (SSC),23 Aug 1997
Sri Lanka,won,lost,1st,India,Colombo (SSC),24 Aug 1997
Sri Lanka,lost,lost,1st,India,Guwahati,22 Dec 1997
Sri Lanka,n/r,won,1st,India,Indore,25 Dec 1997
Sri Lanka,won,lost,2nd,India,Margao,28 Dec 1997
Sri Lanka,lost,won,1st,India,Colombo (RPS),19 Jun 1998
Sri Lanka,aban,-,-,India,Galle,25 Jun 1998
Sri Lanka,won,lost,1st,India,Colombo (SSC),1 Jul 1998
Sri Lanka,lost,lost,2nd,India,Colombo (RPS),7 Jul 1998
Sri Lanka,lost,lost,1st,India,Sharjah,6 Nov 1998
Sri Lanka,lost,won,2nd,India,Sharjah,9 Nov 1998
Sri Lanka,lost,won,2nd,India,Nagpur,22 Mar 1999
Sri Lanka,lost,won,2nd,India,Pune,30 Mar 1999
Sri Lanka,lost,won,2nd,India,Taunton,26 May 1999
Sri Lanka,won,lost,2nd,India,Colombo (RPS),25 Aug 1999
Sri Lanka,lost,won,2nd,India,Colombo (SSC),29 Aug 1999
Sri Lanka,won,won,1st,India,Dhaka,1 Jun 2000
Sri Lanka,won,lost,2nd,India,Sharjah,20 Oct 2000
Sri Lanka,won,lost,1st,India,Sharjah,27 Oct 2000
Sri Lanka,won,won,1st,India,Sharjah,29 Oct 2000
Sri Lanka,won,won,1st,India,Colombo (RPS),22 Jul 2001
Sri Lanka,lost,won,1st,India,Colombo (RPS),28 Jul 2001
Sri Lanka,lost,won,2nd,India,Colombo (SSC),1 Aug 2001
Sri Lanka,won,won,1st,India,Colombo (RPS),5 Aug 2001
Sri Lanka,lost,won,1st,India,The Oval,30 Jun 2002
Sri Lanka,lost,lost,1st,India,Birmingham,6 Jul 2002
Sri Lanka,lost,lost,2nd,India,Bristol,11 Jul 2002
Sri Lanka,n/r,won,1st,India,Colombo (RPS),29 Sep 2002
Sri Lanka,n/r,won,1st,India,Colombo (RPS),30 Sep 2002
Sri Lanka,lost,won,2nd,India,Johannesburg,10 Mar 2003
Sri Lanka,won,won,1st,India,Dambulla,18 Jul 2004
Sri Lanka,lost,lost,2nd,India,Colombo (RPS),27 Jul 2004
Sri Lanka,won,won,1st,India,Colombo (RPS),1 Aug 2004
Sri Lanka,won,lost,2nd,India,Dambulla,30 Jul 2005
Sri Lanka,won,lost,2nd,India,Dambulla,3 Aug 2005
Sri Lanka,won,won,1st,India,Colombo (RPS),9 Aug 2005
Sri Lanka,lost,lost,2nd,India,Nagpur,25 Oct 2005
Sri Lanka,lost,lost,1st,India,Mohali,28 Oct 2005
Sri Lanka,lost,won,1st,India,Jaipur,31 Oct 2005
Sri Lanka,lost,lost,1st,India,Pune,3 Nov 2005
Sri Lanka,won,won,2nd,India,Ahmedabad,6 Nov 2005
Sri Lanka,lost,lost,1st,India,Rajkot,9 Nov 2005
Sri Lanka,lost,won,1st,India,Vadodara,12 Nov 2005
Sri Lanka,aban,-,-,India,Colombo (RPS),16 Aug 2006
Sri Lanka,n/r,lost,2nd,India,Colombo (SSC),18 Aug 2006
Sri Lanka,aban,-,-,India,Colombo (SSC),20 Aug 2006
Sri Lanka,canc,-,-,India,Colombo (SSC),22 Aug 2006
Sri Lanka,canc,-,-,India,Colombo (RPS),24 Aug 2006
Sri Lanka,n/r,lost,1st,India,Kolkata,8 Feb 2007
Sri Lanka,won,lost,1st,India,Rajkot,11 Feb 2007
Sri Lanka,lost,won,1st,India,Margao,14 Feb 2007
Sri Lanka,lost,lost,1st,India,Visakhapatnam,17 Feb 2007
Sri Lanka,won,lost,1st,India,Port of Spain,23 Mar 2007
Sri Lanka,n/r,lost,2nd,India,Brisbane,5 Feb 2008
Sri Lanka,won,won,2nd,India,Canberra,12 Feb 2008
Sri Lanka,lost,won,1st,India,Adelaide,19 Feb 2008
Sri Lanka,lost,lost,1st,India,Hobart,26 Feb 2008
Sri Lanka,lost,won,1st,India,Karachi,3 Jul 2008
Sri Lanka,won,lost,1st,India,Karachi,6 Jul 2008
Sri Lanka,won,lost,2nd,India,Dambulla,18 Aug 2008
Sri Lanka,lost,lost,1st,India,Dambulla,20 Aug 2008
Sri Lanka,lost,lost,2nd,India,Colombo (RPS),24 Aug 2008
Sri Lanka,aban,-,-,India,Colombo (RPS),26 Aug 2008
Sri Lanka,lost,lost,2nd,India,Colombo (RPS),27 Aug 2008
Sri Lanka,won,won,1st,India,Colombo (RPS),29 Aug 2008
Sri Lanka,lost,lost,1st,India,Dambulla,28 Jan 2009
Sri Lanka,lost,lost,2nd,India,Colombo (RPS),31 Jan 2009
Sri Lanka,lost,lost,2nd,India,Colombo (RPS),3 Feb 2009
Sri Lanka,lost,lost,2nd,India,Colombo (RPS),5 Feb 2009
Sri Lanka,won,won,1st,India,Colombo (RPS),8 Feb 2009
Sri Lanka,won,won,1st,India,Colombo (RPS),12 Sep 2009
Sri Lanka,lost,lost,2nd,India,Colombo (RPS),14 Sep 2009
Sri Lanka,lost,won,2nd,India,Rajkot,15 Dec 2009
Sri Lanka,won,lost,2nd,India,Nagpur,18 Dec 2009
Sri Lanka,lost,won,1st,India,Cuttack,21 Dec 2009
Sri Lanka,lost,won,1st,India,Kolkata,24 Dec 2009
Sri Lanka,n/r,lost,1st,India,Delhi,27 Dec 2009
Sri Lanka,won,won,2nd,India,Dhaka,5 Jan 2010
Sri Lanka,lost,won,1st,India,Dhaka,10 Jan 2010
Sri Lanka,won,won,2nd,India,Dhaka,13 Jan 2010
Sri Lanka,lost,lost,1st,India,Bulawayo,30 May 2010
Sri Lanka,won,won,2nd,India,Harare,5 Jun 2010
Sri Lanka,won,won,2nd,India,Dambulla,22 Jun 2010
Sri Lanka,lost,lost,2nd,India,Dambulla,24 Jun 2010
Sri Lanka,lost,won,1st,India,Dambulla,16 Aug 2010
Sri Lanka,won,lost,2nd,India,Dambulla,22 Aug 2010
Sri Lanka,won,won,1st,India,Dambulla,28 Aug 2010
Sri Lanka,lost,won,1st,India,Mumbai,2 Apr 2011
Sri Lanka,lost,won,1st,India,Perth,8 Feb 2012
Sri Lanka,tied,won,1st,India,Adelaide,14 Feb 2012
Sri Lanka,won,won,1st,India,Brisbane,21 Feb 2012
Sri Lanka,lost,lost,1st,India,Hobart,28 Feb 2012
Sri Lanka,lost,won,2nd,India,Dhaka,13 Mar 2012
Sri Lanka,lost,lost,2nd,India,Hambantota,21 Jul 2012
Sri Lanka,won,lost,2nd,India,Hambantota,24 Jul 2012
Sri Lanka,lost,won,1st,India,Colombo (RPS),28 Jul 2012
Sri Lanka,lost,won,1st,India,Colombo (RPS),31 Jul 2012
Sri Lanka,lost,lost,2nd,India,Pallekele,4 Aug 2012
Sri Lanka,lost,lost,1st,India,Cardiff,20 Jun 2013
Sri Lanka,won,lost,1st,India,Kingston,2 Jul 2013
Sri Lanka,lost,won,2nd,India,Port of Spain,9 Jul 2013
Sri Lanka,lost,lost,1st,India,Port of Spain,11 Jul 2013
Sri Lanka,won,won,2nd,India,Fatullah,28 Feb 2014
